id,lat,lon,year_mon
1,37.782448498,-122.416327441,2023-05
2,37.776330731,-122.410457019,2024-03
3,37.777923063,-122.404787953,2022-02
4,37.780851317,-122.436427289,2021-05
5,37.78832457,-122.393911345,2024-01
6,37.777083316,-122.416979514,2022-08
7,37.722727037,-122.436194485,2024-01
8,37.773337656,-122.409148509,2020-12
9,37.723947171,-122.443848556,2023-09
10,37.769571487,-122.420224195,2022-04
11,37.783673953,-122.415072979,2022-12
12,37.780412626,-122.504177714,2022-01
13,37.727029487,-122.434414807,2022-08
14,37.763015092,-122.46831698,2021-10
15,37.771722675,-122.393266192,2022-08
16,37.786986977,-122.419110401,2020-10
17,37.740062512,-122.479852087,2022-05
18,37.729353569,-122.412514391,2023-05
19,37.763988754,-122.488906826,2021-08
20,37.786259862,-122.4172796,2024-10
21,37.793627896,-122.40774688,2020-01
22,37.800803175,-122.436797742,2021-01
23,37.768110129,-122.421776597,2020-07
24,37.777083316,-122.416979514,2024-11
25,37.77290009,-122.424646168,2024-09
26,37.76755547,-122.418548327,2022-04
27,37.789478818,-122.414561131,2022-07
28,37.781615028,-122.409420363,2023-01
29,37.762920936,-122.470460922,2024-10
30,37.77961924,-122.431081567,2022-10
31,37.780285561,-122.477760907,2021-12
32,37.78469123,-122.39458113,2024-05
33,37.782644036,-122.419019156,2021-11
34,37.794116973,-122.418092385,2020-11
35,37.730109341,-122.393489943,2024-04
36,37.803216047,-122.432514629,2020-09
37,37.759733171,-122.441287759,2023-09
38,37.772694134,-122.42218914,2020-07
39,37.779316896,-122.480449637,2020-08
40,37.70950508,-122.418519513,2020-03
41,37.785890332,-122.411725718,2022-04
42,37.71945396,-122.442784701,2024-11
43,37.780774248,-122.455070175,2022-06
44,37.78832457,-122.393911345,2022-08
45,37.772365253,-122.414746123,2022-07
46,37.775328443,-122.395002097,2024-07
47,37.799443802,-122.405671314,2021-03
48,37.773603965,-122.482047281,2023-09
49,37.750518015,-122.406994119,2024-03
50,37.783465741,-122.492996409,2022-08
51,37.781377821,-122.433162044,2024-11
52,37.719813899,-122.479321831,2020-02
53,37.789478818,-122.414561131,2021-02
54,37.794136554,-122.428992519,2024-12
55,37.777083316,-122.416979514,2024-12
56,37.766176307,-122.427142651,2020-01
57,37.770755158,-122.425591639,2022-05
58,37.783294687,-122.477372736,2024-02
59,37.780965818,-122.428020291,2022-10
60,37.708943567,-122.444958463,2022-11
61,37.745953202,-122.413523168,2022-08
62,37.714311121,-122.492030022,2021-01
63,37.732605785,-122.392787846,2020-06
64,37.78832457,-122.393911345,2024-03
65,37.78832457,-122.393911345,2023-03
66,37.708943567,-122.444958463,2023-08
67,37.752002337,-122.408984897,2024-06
68,37.794613864,-122.403978966,2022-05
69,37.764080735,-122.452552939,2024-12
70,37.724343099,-122.427433354,2022-04
71,37.78658886,-122.401692292,2020-08
72,37.805310938,-122.412698358,2021-11
73,37.774091304,-122.419997169,2022-07
74,37.785436481,-122.415336128,2022-09
75,37.798379262,-122.417512644,2023-03
76,37.752223065,-122.500983633,2022-11
77,37.798323216,-122.411286922,2021-07
78,37.782051997,-122.393734352,2023-12
79,37.796079379,-122.411606337,2021-02
80,37.774759785,-122.416457295,2024-06
81,37.740852966,-122.422259612,2021-03
82,37.764373209,-122.41747849,2022-04
83,37.787277155,-122.416825198,2020-07
84,37.761357777,-122.505924513,2023-04
85,37.726562732,-122.439143414,2021-04
86,37.771339101,-122.421139606,2020-08
87,37.767530719,-122.428694761,2023-01
88,37.80363413,-122.438303389,2021-09
89,37.782051997,-122.393734352,2022-07
90,37.754308585,-122.424144017,2022-08
91,37.787277155,-122.416825198,2022-07
92,37.730782269,-122.440876931,2020-07
93,37.783388956,-122.409832446,2023-05
94,37.798465839,-122.40743069,2020-03
95,37.773408312,-122.486332269,2021-08
96,37.764373209,-122.41747849,2023-06
97,37.730346351,-122.396355476,2024-05
98,37.762773726,-122.417186682,2021-02
99,37.777486533,-122.397691886,2022-03
100,37.785611404,-122.414829444,2022-03
101,37.760630122,-122.500028139,2024-06
102,37.74164774,-122.486274627,2021-12
103,37.745562033,-122.423383985,2022-09
104,37.734931047,-122.449970817,2022-03
105,37.791867607,-122.418413462,2023-01
106,37.777083316,-122.416979514,2024-12
107,37.737960447,-122.44632164,2022-01
108,37.764373209,-122.41747849,2022-08
109,37.744465043,-122.43884985,2024-10
110,37.78469123,-122.39458113,2024-07
111,37.769067425,-122.420926624,2021-04
112,37.78161364,-122.41205414,2024-02
113,37.777887965,-122.413601564,2020-05
114,37.786995531,-122.414832698,2024-10
115,37.766134387,-122.421935076,2022-03
116,37.77576838,-122.408511755,2021-03
117,37.72030093,-122.434349394,2023-12
118,37.792962859,-122.416947053,2022-05
119,37.761010743,-122.471404008,2020-07
120,37.782994299,-122.449287088,2024-10
121,37.789478406,-122.406166894,2022-09
122,37.720682061,-122.445184208,2020-01
123,37.777083316,-122.416979514,2022-08
124,37.757881936,-122.396119747,2022-01
125,37.779175602,-122.483662767,2022-09
126,37.748408198,-122.411010507,2022-02
127,37.777912928,-122.425714837,2024-01
128,37.755446307,-122.440411385,2022-06
129,37.758329591,-122.489725815,2022-09
130,37.719027851,-122.482266823,2020-03
131,37.733065166,-122.392752918,2021-10
132,37.789269247,-122.416205377,2022-11
133,37.731453695,-122.446935179,2024-12
134,37.803216047,-122.432514629,2024-04
135,37.78832457,-122.393911345,2024-06
136,37.743061814,-122.408653258,2024-04
137,37.734551292,-122.382288973,2022-04
138,37.763654746,-122.393765213,2022-09
139,37.784199161,-122.414267551,2024-08
140,37.767477873,-122.419834387,2021-04
141,37.772694134,-122.42218914,2023-05
142,37.771602834,-122.445694367,2022-06
143,37.791697251,-122.39213406,2022-03
144,37.79636509,-122.414263601,2020-08
145,37.757451265,-122.412902671,2022-08
146,37.70938416,-122.453617463,2022-08
147,37.770801327,-122.414637026,2021-10
148,37.78832457,-122.393911345,2022-08
149,37.786102515,-122.455446447,2020-09
150,37.758426923,-122.435813348,2023-11
151,37.777790309,-122.412834332,2021-05
152,37.783388956,-122.409832446,2020-03
153,37.78211926,-122.419826677,2022-10
154,37.777790309,-122.412834332,2020-05
155,37.782743972,-122.414884812,2022-07
156,37.772694134,-122.42218914,2020-07
157,37.775140431,-122.411799524,2021-08
158,37.757451265,-122.412902671,2022-08
159,37.791700515,-122.408344612,2024-04
160,37.731850435,-122.396778517,2021-01
161,37.792139834,-122.419380098,2022-07
162,37.789478818,-122.414561131,2020-02
163,37.78832457,-122.393911345,2023-05
164,37.758663515,-122.41945221,2023-12
165,37.730300428,-122.40314678,2023-06
166,37.783388956,-122.409832446,2023-04
167,37.76109715,-122.418263705,2022-06
168,37.770152275,-122.45287934,2022-05
169,37.78832457,-122.393911345,2022-06
170,37.716508763,-122.436747872,2024-02
171,37.783046322,-122.410801053,2021-06
172,37.715544557,-122.473629106,2020-02
173,37.780646414,-122.427178093,2022-10
174,37.777887965,-122.413601564,2022-01
175,37.764373209,-122.41747849,2021-11
176,37.777790309,-122.412834332,2024-08
177,37.772694134,-122.42218914,2020-01
178,37.795475652,-122.425889481,2022-02
179,37.783673953,-122.415072979,2022-08
180,37.78832457,-122.393911345,2024-11
181,37.78832457,-122.393911345,2023-01
182,37.78832457,-122.393911345,2024-11
183,37.788017878,-122.41763497,2022-12
184,37.763601325,-122.497619166,2022-03
185,37.78832457,-122.393911345,2022-06
186,37.780961754,-122.48687983,2024-11
187,37.772587667,-122.411343205,2021-07
188,37.781377821,-122.433162044,2024-03
189,37.788438921,-122.422782314,2024-04
190,37.755648575,-122.46565691,2021-04
191,37.776173269,-122.486063746,2021-08
192,37.716652151,-122.474170187,2020-12
193,37.78832457,-122.393911345,2023-06
194,37.71877623,-122.469015204,2021-03
195,37.78832457,-122.393911345,2024-01
196,37.766134387,-122.421935076,2022-11
197,37.742712247,-122.423266375,2020-10
198,37.779530959,-122.413542707,2024-11
199,37.772134835,-122.388253013,2023-08
200,37.77274893,-122.419207296,2022-07
201,37.732955634,-122.387590806,2024-05
202,37.764373209,-122.41747849,2022-05
203,37.775415137,-122.483391492,2020-11
204,37.786570555,-122.413973061,2024-02
205,37.746621585,-122.500730925,2022-01
206,37.760984862,-122.42012054,2022-01
207,37.78605122,-122.418924277,2024-07
208,37.777167948,-122.426337321,2020-08
209,37.777083316,-122.416979514,2024-11
210,37.802756865,-122.441636163,2023-12
211,37.800359768,-122.421041384,2023-08
212,37.774295048,-122.507887207,2020-03
213,37.727016836,-122.403413374,2021-03
214,37.76532636,-122.414201572,2023-05
215,37.773861778,-122.413045971,2023-02
216,37.795167956,-122.409878515,2023-03
217,37.777790309,-122.412834332,2023-11
218,37.78832457,-122.393911345,2024-11
219,37.773069105,-122.411857013,2020-11
220,37.772694134,-122.42218914,2022-03
221,37.762256513,-122.485564557,2020-02
222,37.745953202,-122.413523168,2020-03
223,37.7380275,-122.391497205,2023-11
224,37.78832457,-122.393911345,2023-01
225,37.783465741,-122.492996409,2024-02
226,37.718568337,-122.438508637,2021-09
227,37.727936511,-122.371935413,2022-04
228,37.78832457,-122.393911345,2023-01
229,37.774091304,-122.419997169,2022-07
230,37.774091304,-122.419997169,2022-07
231,37.788017878,-122.41763497,2024-12
232,37.790767998,-122.396202748,2020-03
233,37.73165057,-122.446937341,2024-05
234,37.7220361,-122.401210137,2024-10
235,37.752421188,-122.405338378,2022-09
236,37.764104409,-122.421877973,2022-09
237,37.781595588,-122.412190669,2023-01
238,37.718475863,-122.437317366,2021-07
239,37.731716135,-122.388705101,2022-08
240,37.784334565,-122.389023649,2021-03
241,37.777790309,-122.412834332,2022-02
242,37.742573192,-122.421763077,2022-05
243,37.78832457,-122.393911345,2023-05
244,37.737000579,-122.386500453,2024-03
245,37.763558828,-122.49855222,2023-06
246,37.775702747,-122.510119118,2024-08
247,37.78915316,-122.424612965,2021-01
248,37.777107722,-122.423094,2020-03
249,37.782051997,-122.393734352,2022-08
250,37.78832457,-122.393911345,2022-08
251,37.800923343,-122.407362148,2024-11
252,37.779767116,-122.408298618,2021-08
253,37.763407358,-122.439048936,2021-03
254,37.784903682,-122.416234049,2023-10
255,37.763052023,-122.509664146,2021-07
256,37.774091304,-122.419997169,2022-07
257,37.719730225,-122.466704218,2021-11
258,37.787027218,-122.394922601,2023-08
259,37.779530959,-122.413542707,2023-05
260,37.710764689,-122.390792804,2020-05
261,37.71568992,-122.45479584,2021-10
262,37.754269489,-122.496966378,2022-10
263,37.742573192,-122.421763077,2022-02
264,37.719105637,-122.454158088,2023-03
265,37.77202355,-122.415565558,2023-03
266,37.719013286,-122.480443681,2020-06
267,37.787027218,-122.394922601,2022-08
268,37.777083316,-122.416979514,2022-09
269,37.776512817,-122.414966684,2022-08
270,37.715591711,-122.407227033,2024-11
271,37.723455457,-122.439317597,2024-09
272,37.764373209,-122.41747849,2021-03
273,37.785736789,-122.389124364,2021-08
274,37.789264947,-122.412049085,2023-07
275,37.719136184,-122.455184003,2024-02
276,37.777922841,-122.469358765,2022-02
277,37.751283573,-122.408512518,2021-02
278,37.772569619,-122.504681385,2021-10
279,37.787027218,-122.394922601,2022-08
280,37.759934505,-122.398703844,2021-01
281,37.741557161,-122.421183411,2023-02
282,37.7723804,-122.508821438,2020-03
283,37.741925365,-122.479981753,2022-07
284,37.770783955,-122.421596103,2022-11
285,37.764104409,-122.421877973,2021-01
286,37.777107722,-122.423094,2021-11
287,37.76532636,-122.414201572,2022-12
288,37.741925365,-122.479981753,2022-01
289,37.775245047,-122.443780099,2020-01
290,37.713829477,-122.4333191,2024-07
291,37.743319111,-122.454820663,2021-10
292,37.76532636,-122.414201572,2023-12
293,37.769702722,-122.424196066,2024-06
294,37.793885306,-122.412851826,2021-01
295,37.783973516,-122.416045464,2020-02
296,37.713216046,-122.460797255,2022-09
297,37.723083603,-122.444004642,2023-05
298,37.734520114,-122.434527188,2024-08
299,37.78832457,-122.393911345,2023-01
300,37.774748587,-122.476286293,2021-07
301,37.773914751,-122.427942283,2024-02
302,37.773037538,-122.420091947,2024-10
303,37.736608806,-122.446830944,2024-02
304,37.718722284,-122.389118323,2022-11
305,37.776959835,-122.468822836,2022-05
306,37.7463379,-122.507163948,2022-08
307,37.781145862,-122.409026046,2022-02
308,37.78832457,-122.393911345,2022-08
309,37.7593145,-122.509003766,2021-04
310,37.781440446,-122.441724737,2024-06
311,37.786986977,-122.419110401,2022-01
312,37.767477873,-122.419834387,2021-05
313,37.7220361,-122.401210137,2024-10
314,37.78511799,-122.41873546,2022-10
315,37.781537434,-122.40951834,2020-09
316,37.77659376,-122.440677225,2021-01
317,37.761304267,-122.50713378,2022-01
318,37.78832457,-122.393911345,2023-01
319,37.78832457,-122.393911345,2023-05
320,37.773112484,-122.396640077,2022-03
321,37.71568992,-122.45479584,2021-06
322,37.712756221,-122.456118379,2023-08
323,37.789044686,-122.424591099,2020-06
324,37.780052504,-122.409773824,2024-03
325,37.773914751,-122.427942283,2022-07
326,37.777887965,-122.413601564,2020-03
327,37.78832457,-122.393911345,2024-06
328,37.798759696,-122.440956203,2022-03
329,37.776384775,-122.442321335,2021-09
330,37.723083603,-122.444004642,2023-11
331,37.787504496,-122.414163692,2021-10
332,37.774295048,-122.507887207,2020-03
333,37.754864681,-122.421386761,2024-12
334,37.78832457,-122.393911345,2022-08
335,37.78511799,-122.41873546,2022-07
336,37.777083316,-122.416979514,2024-11
337,37.796311529,-122.413342007,2021-12
338,37.782448498,-122.416327441,2021-03
339,37.783388956,-122.409832446,2020-07
340,37.767690123,-122.424263204,2023-03
341,37.731850435,-122.396778517,2024-02
342,37.774517399,-122.441943565,2020-05
343,37.801504322,-122.423746616,2022-08
344,37.785942727,-122.418902557,2022-06
345,37.73518449,-122.391493955,2021-03
346,37.78832457,-122.393911345,2023-03
347,37.781837781,-122.467627463,2021-09
348,37.786601952,-122.419812186,2021-07
349,37.768132524,-122.436485557,2020-12
350,37.764112737,-122.421739994,2021-12
351,37.783388956,-122.409832446,2023-04
352,37.753975516,-122.400494163,2021-11
353,37.79943434,-122.425002999,2021-12
354,37.791398819,-122.43946686,2020-03
355,37.802314997,-122.443250159,2024-04
356,37.771123292,-122.431093525,2020-09
357,37.757686099,-122.428078856,2020-04
358,37.762586972,-122.478057317,2021-02
359,37.785835355,-122.464563714,2020-01
360,37.779027964,-122.48687687,2021-03
361,37.762352641,-122.389601294,2021-01
362,37.774759785,-122.416457295,2024-07
363,37.784807417,-122.413615228,2021-01
364,37.764373209,-122.41747849,2023-02
365,37.74739813,-122.432918355,2020-06
366,37.732272456,-122.396286163,2022-09
367,37.774321434,-122.439303194,2024-11
368,37.772134835,-122.388253013,2024-11
369,37.802461767,-122.415491758,2020-10
370,37.780774248,-122.455070175,2021-10
371,37.784498756,-122.415240041,2022-03
372,37.787598162,-122.420926156,2020-11
373,37.793461598,-122.416134027,2021-11
374,37.72941909,-122.404411916,2020-01
375,37.723575891,-122.425825453,2021-11
376,37.789478818,-122.414561131,2023-05
377,37.741368855,-122.422541992,2022-02
378,37.778670115,-122.435215027,2023-01
379,37.719281991,-122.430129309,2020-02
380,37.767195137,-122.436883107,2024-03
381,37.767199127,-122.424452092,2022-11
382,37.786151402,-122.417257623,2022-11
383,37.785024662,-122.41197189,2021-01
384,37.76276905,-122.473917056,2020-01
385,37.746070671,-122.458043809,2022-09
386,37.765095379,-122.418027619,2022-07
387,37.790942138,-122.409016348,2021-01
388,37.799450701,-122.40983923,2021-10
389,37.776185858,-122.488209078,2022-07
390,37.801174807,-122.429500503,2021-01
391,37.74970201,-122.420499334,2024-12
392,37.793716565,-122.432279479,2022-05
393,37.796941735,-122.429558903,2021-12
394,37.78832457,-122.393911345,2022-06
395,37.78832457,-122.393911345,2023-01
396,37.722421323,-122.432278815,2020-07
397,37.789478818,-122.414561131,2024-12
398,37.761357777,-122.505924513,2023-02
399,37.773337656,-122.409148509,2022-04
400,37.73534315,-122.426435055,2022-07
401,37.781595588,-122.412190669,2023-10
402,37.712148452,-122.40428784,2022-08
403,37.762728014,-122.474850981,2023-10
404,37.780325913,-122.437234297,2022-07
405,37.77337681,-122.506280176,2022-12
406,37.773818311,-122.496645064,2021-03
407,37.719136184,-122.455184003,2023-07
408,37.722727037,-122.436194485,2024-01
409,37.799975489,-122.4200428,2020-01
410,37.727136855,-122.367581025,2023-06
411,37.789899886,-122.411265644,2024-11
412,37.753316077,-122.476225071,2021-01
413,37.757580976,-122.422275311,2024-08
414,37.775784448,-122.43202516,2020-03
415,37.771920991,-122.404536565,2020-04
416,37.727292994,-122.424276474,2024-01
417,37.74509568,-122.492963822,2020-01
418,37.745260774,-122.421228785,2024-09
419,37.779381466,-122.435357598,2024-05
420,37.80310132,-122.414343193,2024-11
421,37.778670115,-122.435215027,2021-09
422,37.783388956,-122.409832446,2023-02
423,37.777083316,-122.416979514,2022-08
424,37.787918527,-122.404277568,2022-02
425,37.794613864,-122.403978966,2022-05
426,37.779811917,-122.469491764,2024-10
427,37.71568992,-122.45479584,2021-12
428,37.777107722,-122.423094,2021-11
429,37.798241407,-122.403286579,2022-01
430,37.726006953,-122.410041179,2021-05
431,37.789478818,-122.414561131,2022-11
432,37.798639175,-122.412121096,2021-12
433,37.789370354,-122.414539182,2020-07
434,37.71596767,-122.48169017,2020-02
435,37.717515182,-122.480598519,2021-02
436,37.780646414,-122.427178093,2022-10
437,37.78832457,-122.393911345,2022-06
438,37.721632734,-122.435054962,2021-10
439,37.748078315,-122.417037589,2024-10
440,37.774530056,-122.433460123,2021-07
441,37.754475198,-122.422274285,2022-05
442,37.773207425,-122.421535842,2020-10
443,37.718026606,-122.45218115,2022-02
444,37.717612479,-122.482371216,2022-07
445,37.785253571,-122.475368226,2024-06
446,37.774621143,-122.415189726,2024-09
447,37.764373209,-122.41747849,2020-12
448,37.787277155,-122.416825198,2024-11
449,37.777083316,-122.416979514,2022-09
450,37.743367826,-122.489754349,2022-08
451,37.765023819,-122.465379847,2021-08
452,37.71568992,-122.45479584,2021-09
453,37.733740897,-122.40450558,2022-02
454,37.78832457,-122.393911345,2022-08
455,37.780052504,-122.409773824,2021-10
456,37.711782413,-122.394441763,2024-07
457,37.783565477,-122.415051135,2022-12
458,37.777083316,-122.416979514,2024-12
459,37.771722675,-122.393266192,2022-09
460,37.75525804,-122.408352038,2021-11
461,37.708816134,-122.418829736,2022-05
462,37.762352641,-122.389601294,2020-12
463,37.788032196,-122.392000314,2021-07
464,37.727636584,-122.461370791,2020-10
465,37.793529317,-122.411636767,2020-05
466,37.789478818,-122.414561131,2022-11
467,37.750033261,-122.415006766,2021-08
468,37.767926931,-122.448269735,2024-06
469,37.752050457,-122.408181887,2020-02
470,37.743468244,-122.48747244,2024-10
471,37.777887965,-122.413601564,2021-03
472,37.731296227,-122.380133846,2022-08
473,37.765858282,-122.419816092,2024-01
