id,lat,lon,year_mon,geoid
1,37.782448498,-122.416327441,2023-05,06075012403
2,37.776330731,-122.410457019,2024-03,06075017804
3,37.777923063,-122.404787953,2022-02,06075017804
4,37.780851317,-122.436427289,2021-05,06075015801
5,37.78832457,-122.393911345,2024-01,06075061507
6,37.777083316,-122.416979514,2022-08,06075012405
7,37.722727037,-122.436194485,2024-01,06075026001
8,37.773337656,-122.409148509,2020-12,06075017803
9,37.723947171,-122.443848556,2023-09,06075025501
10,37.769571487,-122.420224195,2022-04,06075020101
11,37.783673953,-122.415072979,2022-12,06075012404
12,37.780412626,-122.504177714,2022-01,06075047902
13,37.727029487,-122.434414807,2022-08,06075025502
14,37.763015092,-122.46831698,2021-10,06075030202
15,37.771722675,-122.393266192,2022-08,06075060701
16,37.786986977,-122.419110401,2020-10,06075012002
17,37.740062512,-122.479852087,2022-05,06075033002
18,37.729353569,-122.412514391,2023-05,06075025701
19,37.763988754,-122.488906826,2021-08,06075032700
20,37.786259862,-122.4172796,2024-10,06075012203
21,37.793627896,-122.40774688,2020-01,06075011800
22,37.800803175,-122.436797742,2021-01,06075012601
23,37.768110129,-122.421776597,2020-07,06075020101
24,37.777083316,-122.416979514,2024-11,06075012405
25,37.77290009,-122.424646168,2024-09,06075016802
26,37.76755547,-122.418548327,2022-04,06075020101
27,37.789478818,-122.414561131,2022-07,06075011901
28,37.781615028,-122.409420363,2023-01,06075017602
29,37.762920936,-122.470460922,2024-10,06075030202
30,37.77961924,-122.431081567,2022-10,06075016101
31,37.780285561,-122.477760907,2021-12,06075047600
32,37.78469123,-122.39458113,2024-05,06075061504
33,37.782644036,-122.419019156,2021-11,06075012406
34,37.794116973,-122.418092385,2020-11,06075011001
35,37.730109341,-122.393489943,2024-04,06075023003
36,37.803216047,-122.432514629,2020-09,06075012602
37,37.759733171,-122.441287759,2023-09,06075020401
38,37.772694134,-122.42218914,2020-07,06075020101
39,37.779316896,-122.480449637,2020-08,06075047701
40,37.70950508,-122.418519513,2020-03,06075026404
41,37.785890332,-122.411725718,2022-04,06075012301
42,37.71945396,-122.442784701,2024-11,06075026100
43,37.780774248,-122.455070175,2022-06,06075015600
44,37.78832457,-122.393911345,2022-08,06075061507
45,37.772365253,-122.414746123,2022-07,06075017700
46,37.775328443,-122.395002097,2024-07,06075060703
47,37.799443802,-122.405671314,2021-03,06075010402
48,37.773603965,-122.482047281,2023-09,06075047702
49,37.750518015,-122.406994119,2024-03,06075022903
50,37.783465741,-122.492996409,2022-08,06075042700
51,37.781377821,-122.433162044,2024-11,06075015900
52,37.719813899,-122.479321831,2020-02,06075033204
53,37.789478818,-122.414561131,2021-02,06075011901
54,37.794136554,-122.428992519,2024-12,06075013102
55,37.777083316,-122.416979514,2024-12,06075012405
56,37.766176307,-122.427142651,2020-01,06075020300
57,37.770755158,-122.425591639,2022-05,06075016801
58,37.783294687,-122.477372736,2024-02,06075042602
59,37.780965818,-122.428020291,2022-10,06075016102
60,37.708943567,-122.444958463,2022-11,06075026303
61,37.745953202,-122.413523168,2022-08,06075025200
62,37.714311121,-122.492030022,2021-01,06075060400
63,37.732605785,-122.392787846,2020-06,06075023003
64,37.78832457,-122.393911345,2024-03,06075061507
65,37.78832457,-122.393911345,2023-03,06075061507
66,37.708943567,-122.444958463,2023-08,06075026303
67,37.752002337,-122.408984897,2024-06,06075022903
68,37.794613864,-122.403978966,2022-05,06075061101
69,37.764080735,-122.452552939,2024-12,06075030102
70,37.724343099,-122.427433354,2022-04,06075026002
71,37.78658886,-122.401692292,2020-08,06075061501
72,37.805310938,-122.412698358,2021-11,06075010102
73,37.774091304,-122.419997169,2022-07,06075020101
74,37.785436481,-122.415336128,2022-09,06075012204
75,37.798379262,-122.417512644,2023-03,06075010901
76,37.752223065,-122.500983633,2022-11,06075035102
77,37.798323216,-122.411286922,2021-07,06075010702
78,37.782051997,-122.393734352,2023-12,06075061502
79,37.796079379,-122.411606337,2021-02,06075011300
80,37.774759785,-122.416457295,2024-06,06075017603
81,37.740852966,-122.422259612,2021-03,06075025300
82,37.764373209,-122.41747849,2022-04,06075020102
83,37.787277155,-122.416825198,2020-07,06075012002
84,37.761357777,-122.505924513,2023-04,06075035202
85,37.726562732,-122.439143414,2021-04,06075025501
86,37.771339101,-122.421139606,2020-08,06075020101
87,37.767530719,-122.428694761,2023-01,06075020300
88,37.80363413,-122.438303389,2021-09,06075012601
89,37.782051997,-122.393734352,2022-07,06075061502
90,37.754308585,-122.424144017,2022-08,06075021000
91,37.787277155,-122.416825198,2022-07,06075012002
92,37.730782269,-122.440876931,2020-07,06075031100
93,37.783388956,-122.409832446,2023-05,06075012503
94,37.798465839,-122.40743069,2020-03,06075010600
95,37.773408312,-122.486332269,2021-08,06075047702
96,37.764373209,-122.41747849,2023-06,06075020102
97,37.730346351,-122.396355476,2024-05,06075023003
98,37.762773726,-122.417186682,2021-02,06075022801
99,37.777486533,-122.397691886,2022-03,06075018000
100,37.785611404,-122.414829444,2022-03,06075012204
101,37.760630122,-122.500028139,2024-06,06075035101
102,37.74164774,-122.486274627,2021-12,06075033001
103,37.745562033,-122.423383985,2022-09,06075021500
104,37.734931047,-122.449970817,2022-03,06075030700
105,37.791867607,-122.418413462,2023-01,06075011101
106,37.777083316,-122.416979514,2024-12,06075012405
107,37.737960447,-122.44632164,2022-01,06075030700
108,37.764373209,-122.41747849,2022-08,06075020102
109,37.744465043,-122.43884985,2024-10,06075021600
110,37.78469123,-122.39458113,2024-07,06075061504
111,37.769067425,-122.420926624,2021-04,06075020101
112,37.78161364,-122.41205414,2024-02,06075012503
113,37.777887965,-122.413601564,2020-05,06075017604
114,37.786995531,-122.414832698,2024-10,06075012302
115,37.766134387,-122.421935076,2022-03,06075020102
116,37.77576838,-122.408511755,2021-03,06075017804
117,37.72030093,-122.434349394,2023-12,06075026001
118,37.792962859,-122.416947053,2022-05,06075011001
119,37.761010743,-122.471404008,2020-07,06075030201
120,37.782994299,-122.449287088,2024-10,06075015401
121,37.789478406,-122.406166894,2022-09,06075011700
122,37.720682061,-122.445184208,2020-01,06075026100
123,37.777083316,-122.416979514,2022-08,06075012405
124,37.757881936,-122.396119747,2022-01,06075061402
125,37.779175602,-122.483662767,2022-09,06075047701
126,37.748408198,-122.411010507,2022-02,06075022902
127,37.777912928,-122.425714837,2024-01,06075016200
128,37.755446307,-122.440411385,2022-06,06075020402
129,37.758329591,-122.489725815,2022-09,06075032700
130,37.719027851,-122.482266823,2020-03,06075033204
131,37.733065166,-122.392752918,2021-10,06075023003
132,37.789269247,-122.416205377,2022-11,06075011102
133,37.731453695,-122.446935179,2024-12,06075031100
134,37.803216047,-122.432514629,2024-04,06075012602
135,37.78832457,-122.393911345,2024-06,06075061507
136,37.743061814,-122.408653258,2024-04,06075025100
137,37.734551292,-122.382288973,2022-04,06075023103
138,37.763654746,-122.393765213,2022-09,06075022702
139,37.784199161,-122.414267551,2024-08,06075012502
140,37.767477873,-122.419834387,2021-04,06075020101
141,37.772694134,-122.42218914,2023-05,06075020101
142,37.771602834,-122.445694367,2022-06,06075016601
143,37.791697251,-122.39213406,2022-03,06075061507
144,37.79636509,-122.414263601,2020-08,06075010800
145,37.757451265,-122.412902671,2022-08,06075022801
146,37.70938416,-122.453617463,2022-08,06075026201
147,37.770801327,-122.414637026,2021-10,06075017700
148,37.78832457,-122.393911345,2022-08,06075061507
149,37.786102515,-122.455446447,2020-09,06075015402
150,37.758426923,-122.435813348,2023-11,06075020500
151,37.777790309,-122.412834332,2021-05,06075017604
152,37.783388956,-122.409832446,2020-03,06075012503
153,37.78211926,-122.419826677,2022-10,06075012406
154,37.777790309,-122.412834332,2020-05,06075017604
155,37.782743972,-122.414884812,2022-07,06075012404
156,37.772694134,-122.42218914,2020-07,06075020101
157,37.775140431,-122.411799524,2021-08,06075017803
158,37.757451265,-122.412902671,2022-08,06075022801
159,37.791700515,-122.408344612,2024-04,06075011902
160,37.731850435,-122.396778517,2021-01,06075023003
161,37.792139834,-122.419380098,2022-07,06075011101
162,37.789478818,-122.414561131,2020-02,06075011901
163,37.78832457,-122.393911345,2023-05,06075061507
164,37.758663515,-122.41945221,2023-12,06075020801
165,37.730300428,-122.40314678,2023-06,06075023001
166,37.783388956,-122.409832446,2023-04,06075012503
167,37.76109715,-122.418263705,2022-06,06075020802
168,37.770152275,-122.45287934,2022-05,06075016602
169,37.78832457,-122.393911345,2022-06,06075061507
170,37.716508763,-122.436747872,2024-02,06075026004
171,37.783046322,-122.410801053,2021-06,06075012503
172,37.715544557,-122.473629106,2020-02,06075033203
173,37.780646414,-122.427178093,2022-10,06075016102
174,37.777887965,-122.413601564,2022-01,06075017604
175,37.764373209,-122.41747849,2021-11,06075020102
176,37.777790309,-122.412834332,2024-08,06075017604
177,37.772694134,-122.42218914,2020-01,06075020101
178,37.795475652,-122.425889481,2022-02,06075013101
179,37.783673953,-122.415072979,2022-08,06075012404
180,37.78832457,-122.393911345,2024-11,06075061507
181,37.78832457,-122.393911345,2023-01,06075061507
182,37.78832457,-122.393911345,2024-11,06075061507
183,37.788017878,-122.41763497,2022-12,06075012002
184,37.763601325,-122.497619166,2022-03,06075035101
185,37.78832457,-122.393911345,2022-06,06075061507
186,37.780961754,-122.48687983,2024-11,06075042700
187,37.772587667,-122.411343205,2021-07,06075017803
188,37.781377821,-122.433162044,2024-03,06075015900
189,37.788438921,-122.422782314,2024-04,06075015100
190,37.755648575,-122.46565691,2021-04,06075030301
191,37.776173269,-122.486063746,2021-08,06075047702
192,37.716652151,-122.474170187,2020-12,06075033203
193,37.78832457,-122.393911345,2023-06,06075061507
194,37.71877623,-122.469015204,2021-03,06075031301
195,37.78832457,-122.393911345,2024-01,06075061507
196,37.766134387,-122.421935076,2022-11,06075020102
197,37.742712247,-122.423266375,2020-10,06075021500
198,37.779530959,-122.413542707,2024-11,06075017604
199,37.772134835,-122.388253013,2023-08,06075060701
200,37.77274893,-122.419207296,2022-07,06075020101
201,37.732955634,-122.387590806,2024-05,06075023102
202,37.764373209,-122.41747849,2022-05,06075020102
203,37.775415137,-122.483391492,2020-11,06075047702
204,37.786570555,-122.413973061,2024-02,06075012302
205,37.746621585,-122.500730925,2022-01,06075035300
206,37.760984862,-122.42012054,2022-01,06075020802
207,37.78605122,-122.418924277,2024-07,06075012202
208,37.777167948,-122.426337321,2020-08,06075016200
209,37.777083316,-122.416979514,2024-11,06075012405
210,37.802756865,-122.441636163,2023-12,06075012601
211,37.800359768,-122.421041384,2023-08,06075010201
212,37.774295048,-122.507887207,2020-03,06075047903
213,37.727016836,-122.403413374,2021-03,06075025702
214,37.76532636,-122.414201572,2023-05,06075017700
215,37.773861778,-122.413045971,2023-02,06075017803
216,37.795167956,-122.409878515,2023-03,06075011300
217,37.777790309,-122.412834332,2023-11,06075017604
218,37.78832457,-122.393911345,2024-11,06075061507
219,37.773069105,-122.411857013,2020-11,06075017803
220,37.772694134,-122.42218914,2022-03,06075020101
221,37.762256513,-122.485564557,2020-02,06075032602
222,37.745953202,-122.413523168,2020-03,06075025200
223,37.7380275,-122.391497205,2023-11,06075061200
224,37.78832457,-122.393911345,2023-01,06075061507
225,37.783465741,-122.492996409,2024-02,06075042700
226,37.718568337,-122.438508637,2021-09,06075026004
