TC02 - Historical Tent Counts,,,,,,,,,,,
Observed,Location,Tents,Structures,Passenger Vehicles,Other Vehicles,District,Neighborhood,Supervisor,Latitude,Longitude,
12/9/25,"7185 FULTON ST, SAN FRANCISCO, CA 94121",0,0,0,1,RICHMOND,Outer Richmond,1,37.771392404597194,-122.50858414918184,
12/9/25,"6943 FULTON ST, SAN FRANCISCO, CA 94121",0,0,1,0,RICHMOND,Golden Gate Park,1,37.77153445661786,-122.50607628375292,
12/9/25,"820 GREAT HWY, SAN FRANCISCO, CA 94121",0,0,1,0,RICHMOND,Outer Richmond,1,37.77255372486613,-122.51097299158572,
12/9/25,"705 GREAT HWY, SAN FRANCISCO, CA 94121",0,0,1,0,RICHMOND,Outer Richmond,1,37.77487763573448,-122.51145511865616,
12/9/25,"4843 BALBOA ST, SAN FRANCISCO, CA 94121",0,0,0,1,RICHMOND,Outer Richmond,1,37.775084078383365,-122.51067861914633,
12/9/25,"791 LA PLAYA, SAN FRANCISCO, CA 94121",0,1,0,0,RICHMOND,Outer Richmond,1,37.77354700760226,-122.51017067581415,
12/9/25,"848 LA PLAYA, SAN FRANCISCO, CA 94121",0,0,0,1,RICHMOND,Outer Richmond,1,37.77230725723296,-122.5099480524659,
12/9/25,"INTERSECTION 41ST AVE, FULTON ST, SAN FRANCISCO, CA 94121",0,0,0,1,RICHMOND,Golden Gate Park,1,37.77176582061209,-122.50121880322695,
12/9/25,"INTERSECTION 35TH AVE, FULTON ST, SAN FRANCISCO, CA 94121",0,0,0,1,RICHMOND,Golden Gate Park,1,37.77206873938635,-122.4950359761715,
12/9/25,"5824 FULTON ST, SAN FRANCISCO, CA 94121",0,0,0,1,RICHMOND,Outer Richmond,1,37.77205787355503,-122.49434866011143,
12/9/25,"5544 FULTON ST, SAN FRANCISCO, CA 94121",0,0,0,1,RICHMOND,Outer Richmond,1,37.772234906900785,-122.49104954302311,
12/9/25,"5230 FULTON ST, SAN FRANCISCO, CA 94121",0,0,0,1,RICHMOND,Outer Richmond,1,37.772372982015476,-122.48780105262996,
12/9/25,"4240 FULTON ST, SAN FRANCISCO, CA 94121",0,0,1,0,RICHMOND,Inner Richmond,1,37.772841799434765,-122.47742895036936,
12/9/25,"4211 FULTON ST, SAN FRANCISCO, CA 94118",0,0,0,2,RICHMOND,Inner Richmond,1,37.77305911345405,-122.47269149869679,
12/9/25,"3879 FULTON ST, SAN FRANCISCO, CA 94118",0,0,0,1,RICHMOND,Inner Richmond,1,37.77315292930888,-122.47053433209659,
12/9/25,"3839 FULTON ST, SAN FRANCISCO, CA 94118",0,0,0,1,RICHMOND,Inner Richmond,1,37.77319559693228,-122.4699543043971,
12/9/25,"3431 FULTON ST, SAN FRANCISCO, CA 94118",0,0,0,1,RICHMOND,Golden Gate Park,1,37.77327907699383,-122.46671989560127,
12/9/25,"INTERSECTION FULTON ST, 4TH AVE, SAN FRANCISCO, CA 94118",0,0,0,1,RICHMOND,Inner Richmond,1,37.77380009645437,-122.46185638010502,
12/9/25,"2714 FULTON ST, SAN FRANCISCO, CA 94118",0,0,0,1,RICHMOND,Inner Richmond,1,37.77393949371391,-122.46091727167367,
12/9/25,"2614 FULTON ST, SAN FRANCISCO, CA 94118",0,0,0,2,RICHMOND,Inner Richmond,1,37.77404576407171,-122.45979610830544,
12/9/25,"3 MASONIC AVE, SAN FRANCISCO, CA 94118",1,0,0,2,RICHMOND,Laurel Heights / Jordan Park,2,37.78314469632342,-122.4470804259181,
12/9/25,"655 PRESIDIO AVE, SAN FRANCISCO, CA 94115",0,0,1,2,RICHMOND,Laurel Heights / Jordan Park,2,37.78568131162471,-122.4473737925291,
12/9/25,"49 LUPINE AVE, SAN FRANCISCO, CA 94118",0,0,0,1,RICHMOND,Laurel Heights / Jordan Park,2,37.78494786698863,-122.4484034255147,
12/9/25,"3316 CALIFORNIA ST, SAN FRANCISCO, CA 94118",0,0,0,1,RICHMOND,Presidio Heights,2,37.78693938540035,-122.44904045015572,
12/9/25,"517 48TH AVE, SAN FRANCISCO, CA 94121",0,0,0,1,RICHMOND,Sutro Heights,1,37.77829565813497,-122.50935997813939,
12/9/25,"7900 GEARY BLVD, SAN FRANCISCO, CA 94121",0,0,0,1,RICHMOND,Sutro Heights,1,37.77947223960926,-122.5040277466178,
12/9/25,"465 42ND AVE, SAN FRANCISCO, CA 94121",0,0,0,1,RICHMOND,Sutro Heights,1,37.779925642471284,-122.50300515443085,
12/10/25,"1474 MARKET ST, SAN FRANCISCO, CA 94102",0,1,0,0,TENDERLOIN,Civic Center,6,37.77558759462154,-122.41885721683504,
12/10/25,"13 MCCOPPIN ST, SAN FRANCISCO, CA 94103",1,1,0,0,SOUTHERN,South of Market,6,37.77167677338729,-122.4208527803421,
12/10/25,"1609 MARKET ST, SAN FRANCISCO, CA 94103",0,0,2,1,SOUTHERN,South of Market,6,37.77402058781621,-122.42037300020456,
12/10/25,"1040 GEARY ST, SAN FRANCISCO, CA 94109",1,0,0,0,NORTHERN,Lower Nob Hill,3,37.78585566263861,-122.42045111954211,
